Codigo.comuna;Comuna;poverty
6101;RANCAGUA;11
6102;CODEGUA;9
6103;COINCO;14
6104;COLTAUCO;14
6105;DOÑIHUE;7
6106;GRANEROS;7
6107;LAS CABRAS;13
6108;MACHALÍ;7
6109;MALLOA;12
6110;MOSTAZAL;10
6111;OLIVAR;8
6112;PEUMO;13
6113;PICHIDEGUA;12
6114;QUINTA DE TILCOCO;13
6115;RENGO;10
6116;REQUINOA;8
6117;SAN VICENTE;7
6201;PICHILEMU;4
6202;LA ESTRELLA;14
6203;LITUECHE;10
6204;MARCHIHUE;6
6205;NAVIDAD;12
6206;PAREDONES;15
6301;SAN FERNANDO;10
6302;CHÉPICA;12
6303;CHIMBARONGO;16
6304;LOLOL;13
6305;NANCAGUA;11
6306;PALMILLA;9
6307;PERALILLO;8
6308;PLACILLA;18
6309;PUMANQUE;11
6310;SANTA CRUZ;5
