Codigo.comuna;Comuna;poverty
13101;SANTIAGO;4.08
13102;CERRILLOS;6.48
13103;CERRO NAVIA;7.59
13104;CONCHALÍ;7.43
13105;EL BOSQUE;9.58
13106;ESTACIÓN CENTRAL;5.81
13107;HUECHURABA;5.64
13108;INDEPENDENCIA;8.5
13109;LA CISTERNA;6.6
13110;LA FLORIDA;4.5
13111;LA GRANJA;4.75
13112;LA PINTANA;14.14
13113;LA REINA;0.99
13114;LAS CONDES;0.19
13115;LO BARNECHEA;2.84
13116;LO ESPEJO;6.69
13117;LO PRADO;5.78
13118;MACUL;7.45
13119;MAIPÚ;2.57
13120;ÑUÑOA;0.9
13121;PEDRO AGUIRRE CERDA;6.21
13122;PEÑALOLÉN;4.37
13123;PROVIDENCIA;0.43
13124;PUDAHUEL;8.25
13125;QUILICURA;5.68
13126;QUINTA NORMAL;3.73
13127;RECOLETA;6.89
13128;RENCA;3.73
13129;SAN JOAQUÍN;5.24
13130;SAN MIGUEL;4.85
13131;SAN RAMÓN;4.6
13132;VITACURA;0.13
13201;PUENTE ALTO;7.29
13202;PIRQUE;4.75
13203;SAN JOSÉ DE MAIPO;5.99
13301;COLINA;6.4
13302;LAMPA;3.61
13303;TILTIL;6.79
13401;SAN BERNARDO;9.42
13402;BUIN;8.04
13403;CALERA DE TANGO;3.53
13404;PAINE;4.24
13501;MELIPILLA;5.17
13502;ALHUÉ;6.71
13503;CURACAVÍ;7.44
13504;MARÍA PINTO;10.8
13505;SAN PEDRO;9.27
13601;TALAGANTE;3.71
13602;EL MONTE;8.73
13603;ISLA DE MAIPO;8.33
13604;PADRE HURTADO;8.78
13605;PEÑAFLOR;4.89
